flip_angle_(fraction_of_nominal),rf_phase_(deg),extension_of_base_TR_(ms),extension_of_base_TE_(ms)
0.878000,0.000000,0.16,0.00
0.885143,0.000000,0.15,0.00
0.892000,0.000000,0.14,0.00
0.898857,0.000000,0.13,0.00
0.905286,0.000000,0.12,0.00
0.911571,0.000000,0.11,0.00
0.917714,0.000000,0.10,0.00
0.923571,0.000000,0.09,0.00
0.929286,0.000000,0.08,0.00
0.934857,0.000000,0.06,0.00
0.940000,0.000000,0.05,0.00
0.945143,0.000000,0.04,0.00
0.950000,0.000000,0.03,0.00
0.954571,0.000000,0.02,0.00
0.959000,0.000000,0.01,0.00
0.963143,0.000000,0.01,0.00
0.967143,0.000000,0.00,0.00
0.970857,0.000000,0.00,0.00
0.974286,0.000000,0.00,0.00
0.977571,0.000000,0.01,0.00
0.980714,0.000000,0.02,0.00
0.983571,0.000000,0.04,0.00
0.986143,0.000000,0.06,0.00
0.988571,0.000000,0.08,0.00
0.990714,0.000000,0.11,0.00
0.992714,0.000000,0.14,0.00
0.994429,0.000000,0.17,0.00
0.995857,0.000000,0.21,0.00
0.997143,0.000000,0.24,0.00
0.998143,0.000000,0.28,0.00
0.999000,0.000000,0.32,0.00
0.999571,0.000000,0.36,0.00
0.999857,0.000000,0.41,0.00
1.000000,0.000000,0.45,0.00
0.999857,0.000000,0.50,0.00
0.999571,0.000000,0.54,0.00
0.999000,0.000000,0.59,0.00
0.998143,0.000000,0.64,0.00
0.997143,0.000000,0.68,0.00
0.995857,0.000000,0.72,0.00
0.994429,0.000000,0.75,0.00
0.992714,0.000000,0.79,0.00
0.990714,0.000000,0.82,0.00
0.988571,0.000000,0.85,0.00
0.986143,0.000000,0.88,0.00
0.983571,0.000000,0.90,0.00
0.980714,0.000000,0.94,0.00
0.977571,0.000000,0.97,0.00
0.974286,0.000000,1.00,0.00
0.970857,0.000000,1.04,0.00
0.967143,0.000000,1.07,0.00
0.963143,0.000000,1.11,0.00
0.959000,0.000000,1.15,0.00
0.954571,0.000000,1.18,0.00
0.950000,0.000000,1.22,0.00
0.945143,0.000000,1.26,0.00
0.940000,0.000000,1.29,0.00
0.934857,0.000000,1.33,0.00
0.929286,0.000000,1.36,0.00
0.923571,0.000000,1.39,0.00
0.917714,0.000000,1.43,0.00
0.911571,0.000000,1.46,0.00
0.905286,0.000000,1.50,0.00
0.898857,0.000000,1.54,0.00
0.892000,0.000000,1.58,0.00
0.885143,0.000000,1.62,0.00
0.878000,0.000000,1.66,0.00
0.870714,0.000000,1.70,0.00
0.863143,0.000000,1.74,0.00
0.855429,0.000000,1.78,0.00
0.847571,0.000000,1.81,0.00
0.839429,0.000000,1.84,0.00
0.831143,0.000000,1.87,0.00
0.822714,0.000000,1.90,0.00
0.814000,0.000000,1.92,0.00
0.805143,0.000000,1.94,0.00
0.796143,0.000000,1.95,0.00
0.786857,0.000000,1.97,0.00
0.777571,0.000000,1.98,0.00
0.768000,0.000000,2.00,0.00
0.758286,0.000000,2.01,0.00
0.748286,0.000000,2.03,0.00
0.738286,0.000000,2.04,0.00
0.728000,0.000000,2.06,0.00
0.717571,0.000000,2.08,0.00
0.707143,0.000000,2.10,0.00
0.696429,0.000000,2.12,0.00
0.685571,0.000000,2.14,0.00
0.674429,0.000000,2.15,0.00
0.663286,0.000000,2.17,0.00
0.652000,0.000000,2.19,0.00
0.640571,0.000000,2.21,0.00
0.629000,0.000000,2.23,0.00
0.617286,0.000000,2.25,0.00
